id,O,H,L,C,V,alarmTimer,refT,srT,srV,nSR,GL
285,68.1,68.25,68.05,68.25,37222,0,0.0,None,0.0,68.16666666666666,-8.878504672897202
286,1500.0,1501.6,1499.85,1499.85,1426,0,0.0,None,0.0,154.19999999999993,887.0681145113524
287,1500.0,1501.6,1499.85,1499.85,1426,0,0.0,None,0.0,1543.7333333333327,-7.264970476396575
288,116.1,116.25,116.0,116.25,142509,0,0.0,None,0.0,121.94999999999999,-7.701468836840018
289,908.5,912.65,906.1,909.7,20482,0,0.0,None,0.0,905.6000000000004,-1.0604165533742997
290,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
291,288.4,289.15,288.4,289.1,589,0,0.0,None,0.0,288.40000000000003,-2.198917456021651
292,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
295,623.85,623.85,623.85,623.85,10,0,0.0,None,0.0,628.4999999999998,-5.405610310841543
296,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0,0,0,0.0,None,0.0,0.0,0.0
298,124.65,124.75,124.55,124.65,18344,0,0.0,None,0.0,0.0,-87.7770151010002
299,124.65,124.75,124.55,124.65,18344,0,0.0,None,0.0,126.5,-6.7688855646970705
300,822.95,823.85,822.95,823.8,175,0,0.0,None,0.0,824.2833333333333,-1.003424863305897
