id,disc,sector,symbol,token,cap,O,H,L,C,s5,s4,s3,s2,s1,p,r1,r2,r3,r4,r5
251,Five-Star Business Finance Ltd.,Financial Services,FIVESTAR-EQ,12032,15751,695.0,713.5,695.0,707.45,662.2666666666664,670.4499999999998,678.6333333333332,686.8166666666666,697.1333333333332,705.3166666666666,715.6333333333332,723.8166666666666,734.1333333333332,744.4499999999998,754.7666666666664
254,360 ONE WAM Ltd.,Financial Services,360ONE-EQ,13061,15336,520.0,521.85,508.95,510.5,476.61666666666656,484.6999999999998,492.7833333333333,500.8666666666666,505.6833333333333,513.7666666666667,518.5833333333333,526.6666666666667,531.4833333333333,536.3000000000001,541.1166666666668
266,CreditAccess Grameen Ltd.,Financial Services,CREDITACC-EQ,4421,14296,1324.95,1336.2,1291.1,1299.75,1182.3666666666663,1209.5499999999997,1236.7333333333331,1263.9166666666665,1281.8333333333333,1309.0166666666667,1326.9333333333334,1354.1166666666668,1372.0333333333335,1389.9500000000007,1407.8666666666668
272,ICICI Securities Ltd.,Financial Services,ISEC-EQ,2489,13820,614.85,623.7,612.8,620.7,594.2666666666667,598.9000000000001,603.5333333333333,608.1666666666666,614.4333333333334,619.0666666666667,625.3333333333335,629.9666666666668,636.2333333333336,642.5000000000005,648.7666666666671
273,Capri Global Capital Ltd.,Financial Services,CGCL-EQ,20329,13629,788.05,801.85,765.0,778.3,684.4666666666662,704.5999999999995,724.7333333333331,744.8666666666666,761.5833333333331,781.7166666666666,798.4333333333332,818.5666666666666,835.2833333333332,851.9999999999995,868.7166666666662
284,Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA-EQ,357,13089,331.5,336.4,327.85,332.95,311.85000000000025,315.85000000000014,319.85000000000014,323.8500000000001,328.4000000000001,332.40000000000003,336.95000000000005,340.95,345.5,350.04999999999995,354.6
287,Aavas Financiers Ltd.,Financial Services,AAVAS-EQ,5385,12734,1710.0,1774.9,1700.0,1714.55,1519.666666666666,1564.749999999999,1609.833333333333,1654.9166666666665,1684.7333333333331,1729.8166666666666,1759.6333333333332,1804.7166666666667,1834.5333333333333,1864.35,1894.166666666666
288,IDFC Ltd.,Financial Services,IDFC-EQ,11957,12567,131.25,137.0,126.75,127.15,99.94999999999993,106.64999999999998,113.34999999999997,120.04999999999998,123.59999999999997,130.29999999999998,133.84999999999997,140.54999999999998,144.09999999999997,147.64999999999998,151.19999999999993
291,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS-EQ,5435,12097,293.8,298.05,289.15,291.05,267.94999999999993,273.2499999999999,278.54999999999995,283.84999999999997,287.45,292.75,296.35,301.65000000000003,305.25000000000006,308.85000000000014,312.45000000000005
299,Indian Energy Exchange Ltd.,Financial Services,IEX-EQ,220,11409,132.6,134.85,130.65,131.05,119.98333333333335,122.65000000000003,125.31666666666669,127.98333333333335,129.51666666666668,132.18333333333334,133.71666666666667,136.38333333333333,137.91666666666666,139.45,140.98333333333335
