id,sector,symbol,token,PC,CC1,CC2,V,atr,atrPer,g,s,t,bulRP,berRP,atrV,vs,roc,rsi,rsi0,rsi1,rsi2,roc0,bulRPC,berRPC,alarmTimer,srT,srV,nSR,GL,ot,oc
47,Metals & Mining,VEDL-EQ,3063,273.6,441.3,440.9,26569,0.664999999999992,0.1508278521206605,red,"1.5, 1.5, 1.5","normal, normal",none,Bearish_Engulfing,16937.3,"2.0, 1.0, 1.5","-21.5468360172385, -12.463176977113331, 0.0","33.33333333333333, 38.46153846153896, 48.78048780487913",33.33333333333333,38.46153846153896,48.78048780487913,-21.5468360172385,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
48,Fast Moving Consumer Goods,GODREJCP-EQ,10099,1218.45,1292.15,1292.35,2709,1.7200000000000046,0.1330908809533025,green,"1.0, 1.5, 1.5","tweezer_b, spn_top",none,none,1284.8,"3.0, 3.0, 0.25","-11.219870778040356, -12.769415315558282, -13.544367478038776","47.56097560975549, 46.25000000000057, 45.5696202531642",47.56097560975549,46.25000000000057,45.5696202531642,-11.219870778040356,"none, none","none, none",0,none,0,0,0,,
49,Fast Moving Consumer Goods,DABUR-EQ,772,533.65,545.3,544.4,5920,0.5000000000000113,0.091844232182221,red,"2.0, 1.0, 0.75","marubozu, normal",none,none,5286.5,"1.5, 0.75, 0.75","-24.797942689199537, -8.252338162480203, -1.8326766242100752","32.20338983050691, 46.34146341463185, 55.882352941174695",32.20338983050691,46.34146341463185,55.882352941174695,-24.797942689199537,"none, none","none, none",0,none,0,0,0,,
50,Oil Gas & Consumable Fuels,ATGL-EQ,6066,989.05,920.85,920.25,91,0.6550000000000068,0.0711763107851134,red,"1.0, 1.5, 1.0","shooting_star, hammer",hammer,none,370.0,"0.25, 1.0, 0.75","-10.866612333604998, -4.343812781668863, -8.147745790331342","17.391304347825443, 23.52941176470549, 3.703703703700584",17.391304347825443,23.52941176470549,3.703703703700584,-10.866612333604998,"none, hammer","shooting_star, none",0,none,0,0,0,,
51,Construction Materials,SHREECEM-EQ,3103,26954.8,25800.5,25800.0,1863,14.400000000000365,0.0558139534883735,red,"3.0, 0.75, 1.5","hammer, marubozu",none,none,391.0,"5.0, 0.75, 1.0","15.503875968992247, 15.69737020600376, 15.774765800928163","91.79104477612212, 92.7801724137959, 93.18181818182248",91.79104477612212,92.7801724137959,93.18181818182248,15.503875968992247,"hammer, none","none, none",0,none,0,0,0,,
52,Power,ADANIENSOL-EQ,10217,1022.6,1025.85,1025.45,608,0.8849999999999681,0.0863035740406619,green,"1.5, 2.0, 0.75","shooting_star, tweezer_b",none,none,296.4,"3.0, 1.0, 0.5","-5.363498951679307, -1.4622020763278352, 0.0","42.105263157895365, 47.05882352941097, 49.23076923076988",42.105263157895365,47.05882352941097,49.23076923076988,-5.363498951679307,"none, none","shooting_star, none",0,none,0,0,0,,
53,Capital Goods,HAL-EQ,2303,2932.5,4095.65,4093.0,475,3.035000000000082,0.0741509894942605,red,"1.5, 1.5, 0.75","normal, normal",none,none,1015.5,"0.5, 1.0, 0.5","-6.10798924993892, 0.366242232612872, 1.708900932571208","42.15246636771275, 55.29411764705964, 59.11949685534498",42.15246636771275,55.29411764705964,59.11949685534498,-6.10798924993892,"none, none","none, none",0,none,0,0,0,,
54,Metals & Mining,HINDALCO-EQ,1363,579.9,652.25,652.25,2686,0.2449999999999931,0.0375622844001522,green,"0.5, 3.0, 0.75","marubozu, tweezer_b",none,none,5827.9,"0.5, 3.0, 0.75","-7.665772326561901, -7.665772326561901, -3.0648992414381344","33.333333333333336, 33.333333333333336, 44.44444444444304",33.333333333333336,33.333333333333336,44.44444444444304,-7.665772326561901,"none, none","none, none",0,none,0,0,0,,
55,Fast Moving Consumer Goods,VBL-EQ,18921,1302.5,1504.35,1504.95,2282,1.3000000000000227,0.0863816073623723,green,"1.0, 1.0, 1.0","normal, tweezer_b",none,none,1403.6,"2.0, 0.75, 0.5","5.315791222299442, 1.3294778475741555, -0.9973404255325196","55.76923076923252, 50.0, 45.8823529411771",55.76923076923252,50.0,45.8823529411771,5.315791222299442,"Bullish_Engulfing, none","none, none",0,none,0,0,0,,
56,Realty,DLF-EQ,14732,786.6,828.8,828.55,2191,1.005000000000041,0.1212962404200158,red,"1.0, 1.5, 2.0","tweezer_b, normal",none,none,6015.5,"0.5, 0.5, 1.5","1.2069277653721449, 4.222972972971876, 13.862102217936082","47.77777777777728, 50.58823529411711, 62.31884057971072",47.77777777777728,50.58823529411711,62.31884057971072,1.2069277653721449,"none, none","none, none",0,none,0,0,0,,
57,Financial Services,BANKBARODA-EQ,4668,257.45,264.75,264.7,8244,0.229999999999984,0.0868908197959894,green,"0.75, 1.5, 0.5","normal, normal",none,Bearish_Engulfing,21362.1,"0.5, 1.5, 0.5","11.333585190782449, 13.220018885742125, 18.87504718761797","58.33333333333294, 60.86956521739151, 69.99999999999886",58.33333333333294,60.86956521739151,69.99999999999886,11.333585190782449,"none, none","none, Bearish_Engulfing",0,none,0,0,0,,
58,Financial Services,INDUSINDBK-EQ,5258,1537.8,1416.35,1416.75,699,1.190000000000009,0.0839950591141703,green,"0.75, 1.5, 1.0","normal, normal",none,none,2889.3,"0.25, 3.0, 0.5","12.70513499205897, 9.884562431601395, 11.295047827467505","59.45945945945835, 56.31067961164877, 58.5858585858572",59.45945945945835,56.31067961164877,58.5858585858572,12.70513499205897,"none, none","none, none",0,none,0,0,0,,
59,Automobile and Auto Components,EICHERMOT-EQ,910,3889.95,4623.45,4624.95,3357,5.394999999999982,0.1166499097287534,green,"0.75, 1.5, 0.75","hammer, marubozu",none,Bearish_Engulfing,4268.5,"1.0, 0.75, 0.75","-28.21652125968969, -31.47000616422841, -18.03592064194996","19.15887850467149, 13.065326633163924, 18.97810218977855",19.15887850467149,13.065326633163924,18.97810218977855,-28.21652125968969,"hammer, none","none, Bearish_Engulfing",0,none,0,0,0,,
60,Healthcare,DRREDDY-EQ,881,6094.45,5935.5,5931.45,292,3.654999999999928,0.061620682969593,red,"1.5, 0.5, 0.5","marubozu, hammer",none,none,294.2,"1.0, 1.5, 0.75","-8.092456313380678, -1.2635835228708616, -1.6005930618499788","41.428571428570535, 53.90334572490833, 53.20754716981313",41.428571428570535,53.90334572490833,53.20754716981313,-8.092456313380678,"none, none","Bearish_Engulfing, none",0,none,0,0,0,,
